prize,winner,date,gender,description
Richard Lounsbery Award,Joseph L. Goldstein,1979-01-01T00:00:00Z,male,$null$
Ralph W. Gerard Prize,Robert Wurtz,2006-01-01T00:00:00Z,male,award of the Society for Neuroscience
Marjory Stephenson Prize,Stanley Falkow,2004-01-01T00:00:00Z,male,principal prize of the Microbiology Society
Philip Morris Research Prize,Christophe Boesch,2000-01-01T00:00:00Z,male,$null$
Pour le Mérite for Sciences and Arts,Konrad Lorenz,1969-01-01T00:00:00Z,male,civil class of the order
Prize of the Foundation for Polish Science,Jacek Oleksyn,2008-01-01T00:00:00Z,male,scientific award in Poland
Prize of the Foundation for Polish Science,Zbigniew Maciej Gliwicz,2001-01-01T00:00:00Z,male,scientific award in Poland
Leeuwenhoek Lecture,Gordon Elliott Fogg,1968-01-01T00:00:00Z,male,$null$
Prize of the Foundation for Polish Science,Włodzimierz Krzyżosiak,2007-01-01T00:00:00Z,male,scientific award in Poland
Kyoto Prize in Basic Sciences,Ōsumi Yoshinori,2012-01-01T00:00:00Z,male,$null$
Daniel Giraud Elliot Medal,Ernst Mayr,1967-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Daniel Giraud Elliot Medal,Sewall Wright,1945-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Massry Prize,Randy Schekman,2010-01-01T00:00:00Z,male,$null$
Kyoto Prize in Basic Sciences,Simon A. Levin,2005-01-01T00:00:00Z,male,$null$
Hector Medal,Patrick Marshall,1915-01-01T00:00:00Z,male,"scientific award for outstanding work in chemical, physical or mathematical and information sciences by a researcher in New Zealand, awarded annually"
Princess of Asturias Award for Technical and Scientific Research,Manuel Losada Villasante,1995-01-01T00:00:00Z,male,$null$
Kyoto Prize in Basic Sciences,Masatoshi Nei,2013-01-01T00:00:00Z,male,$null$
Princess of Asturias Award for Technical and Scientific Research,Anthony R. Hunter,2004-01-01T00:00:00Z,male,$null$
Kyoto Prize in Basic Sciences,Yasutomi Nishizuka,1992-01-01T00:00:00Z,male,$null$
Benjamin Franklin Award,Steven Salzberg,2013-01-01T00:00:00Z,male,$null$
Heinz Award,Gretchen Daily,2010-01-01T00:00:00Z,female,$null$
Heinz Award,Sandra Steingraber,2011-01-01T00:00:00Z,female,$null$
AAAS Fellow,Cheryl J. Briggs,2019-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Ann Richmond,2017-01-01T00:00:00Z,female,award and fellowship
Frink Medal,Arthur Cain,1988-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
Pour le Mérite for Sciences and Arts,Bert Sakmann,1996-06-04T00:00:00Z,male,civil class of the order
Linnean Medal,D'Arcy Wentworth Thompson,1938-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Linnean Medal,Ray Lankester,1920-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Acharius Medal,Ana Crespo,2012-01-01T00:00:00Z,female,award for lifetime achievement in lichenology
AAAS Fellow,Mariana Wolfner,2006-01-01T00:00:00Z,female,award and fellowship
AAAS Fellow,Diane M. Robins,2013-01-01T00:00:00Z,female,award and fellowship
Russian government award for science and technology,Irina Ivshina,2008-01-01T00:00:00Z,female,one of the prizes of the Government of the Russian Federation
Björkén Prize,Kerstin Lindblad-Toh,2017-01-01T00:00:00Z,female,$null$
Richard Lounsbery Award,Marie Manceau,2020-01-01T00:00:00Z,female,$null$
AAAS Fellow,Andy Dobson,2012-01-01T00:00:00Z,male,award and fellowship
Russian government award for science and technology,Alexander Gintsburg,2003-01-01T00:00:00Z,male,one of the prizes of the Government of the Russian Federation
Daniel Giraud Elliot Medal,George C. Williams,1992-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Prize of the Foundation for Polish Science,Andrzej Tarkowski,2013-01-01T00:00:00Z,male,scientific award in Poland
Frink Medal,Eric James Denton,1987-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
Marjory Stephenson Prize,Keith Gull,1996-01-01T00:00:00Z,male,principal prize of the Microbiology Society
Richard Lounsbery Award,Daniel Louvard,1996-01-01T00:00:00Z,male,$null$
The Brain Prize,Tamás Freund,2011-01-01T00:00:00Z,male,Danish science award in neuroscience
Louis-Jeantet Prize for Medicine,Dominique Stéhelin,1987-01-01T00:00:00Z,male,$null$
Princess of Asturias Award for Technical and Scientific Research,Ignacio Martínez Mendizábal,1997-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Martin Gellert,1985-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,François Morel,1980-01-01T00:00:00Z,male,$null$
Princess of Asturias Award for Technical and Scientific Research,Ginés Morata,2007-01-01T00:00:00Z,male,$null$
Princess of Asturias Award for Technical and Scientific Research,Greg Winter,2012-01-01T00:00:00Z,male,$null$
Princess of Asturias Award for Technical and Scientific Research,Santiago Grisolía García,1990-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Maxime Schwartz,1984-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Philippe Ascher,1992-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Elliot Meyerowitz,1999-01-01T00:00:00Z,male,$null$
Kyoto Prize in Basic Sciences,Daniel H. Janzen,1997-01-01T00:00:00Z,male,$null$
Heinz Award,Anne H. Ehrlich,1995-01-01T00:00:00Z,female,$null$
Kyoto Prize in Basic Sciences,Anthony Pawson,2008-01-01T00:00:00Z,male,$null$
Daniel Giraud Elliot Medal,D'Arcy Wentworth Thompson,1942-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Cloëtta Prize,Denis Duboule,1997-01-01T00:00:00Z,male,Swiss academic biomedical distinction
Medalla de Honor al Fomento de la Invención,Antonio García-Bellido,1989-01-01T00:00:00Z,male,$null$
BBVA Foundation Frontiers of Knowledge Award,Thomas Lovejoy,2008-01-01T00:00:00Z,male,Spanish science award
Daniel Giraud Elliot Medal,Robert Cushman Murphy,1936-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Richard Lounsbery Award,Tom Maniatis,1985-01-01T00:00:00Z,male,$null$
Linnean Medal,John Maynard Smith,1995-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Kyoto Prize in Advanced Technology,Shinya Yamanaka,2010-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Miroslav Radman,2000-01-01T00:00:00Z,male,$null$
Princess of Asturias Award for Technical and Scientific Research,Luc Montagnier,2000-01-01T00:00:00Z,male,$null$
Daniel Giraud Elliot Medal,William Beebe,1918-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Johann Georg Zimmermann Medal,Axel Ullrich,2016-01-01T00:00:00Z,male,science award
BBVA Foundation Frontiers of Knowledge Award,Daniel Pauly,2019-01-01T00:00:00Z,male,Spanish science award
Princess of Asturias Award for Technical and Scientific Research,Robert Weinberg,2004-01-01T00:00:00Z,male,$null$
Linnean Medal,Geoffrey Fryer,1987-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Linnean Medal,Sophien Kamoun,2018-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Prize of the Foundation for Polish Science,Jan Kozłowski,2016-01-01T00:00:00Z,male,scientific award in Poland
AAAS Fellow,Irma Thesleff,2009-01-01T00:00:00Z,female,award and fellowship
Heinz Award,P. Dee Boersma,2009-01-01T00:00:00Z,female,$null$
Philip Morris Research Prize,Ralf Baumeister,2001-01-01T00:00:00Z,male,$null$
Philip Morris Research Prize,Patrick Cramer,2007-01-01T00:00:00Z,male,$null$
Philip Morris Research Prize,Diethard Tautz,1995-01-01T00:00:00Z,male,$null$
Philip Morris Research Prize,Peter Schuster,1995-01-01T00:00:00Z,male,$null$
Philip Morris Research Prize,Thomas Carell,2006-01-01T00:00:00Z,male,$null$
Karl Spencer Lashley Award,Masakazu Konishi,2004-01-01T00:00:00Z,male,American science award
Karl Spencer Lashley Award,Robert Wurtz,1994-01-01T00:00:00Z,male,American science award
"Fridtjof Nansen Award of Excellence, Mathematics-Natural sciences class",Kjell B. Døving,2000-01-01T00:00:00Z,male,$null$
Kavli Prize in Neuroscience,James Rothman,2010-01-01T00:00:00Z,male,$null$
Kavli Prize in Neuroscience,Ann Graybiel,2012-01-01T00:00:00Z,female,$null$
"Fridtjof Nansen Award of Excellence, Mathematics-Natural sciences class",Sven Furberg,1965-01-01T00:00:00Z,male,$null$
Academic Prize,Dag Olav Hessen,2010-01-01T00:00:00Z,male,$null$
"Fridtjof Nansen Award of Excellence, Mathematics-Natural sciences class",Kristian Schreiner,1917-01-01T00:00:00Z,male,$null$
"Fridtjof Nansen Award of Excellence, Mathematics-Natural sciences class",Trond Berg,2008-01-01T00:00:00Z,male,$null$
George and Christine Sosnovsky Award in Cancer Therapy,Paul Workman,2010-01-01T00:00:00Z,male,award granted by the Royal Society of Chemistry
Carl-Ritter-Medal,Paul Sarasin,1896-01-01T00:00:00Z,male,$null$
Centenary Prize,Melvin Calvin,1955-01-01T00:00:00Z,male,award granted by the Royal Society of Chemistry
Grande Médaille d'Or des Explorations,Alcide d'Orbigny,1835-01-01T00:00:00Z,male,$null$
Kavli Prize in Neuroscience,Cornelia Bargmann,2012-01-01T00:00:00Z,female,$null$
"Fridtjof Nansen Award of Excellence, Mathematics-Natural sciences class",Johan Hjort,1910-01-01T00:00:00Z,male,$null$
Hayden Memorial Geological Award,Thomas Henry Huxley,1893-01-01T00:00:00Z,male,$null$
"Fridtjof Nansen Award of Excellence, Mathematics-Natural sciences class",Einar Lea,1956-01-01T00:00:00Z,male,$null$
Banting Medal,Herbert McLean Evans,1949-01-01T00:00:00Z,male,award
Inhoffen-Medaille,Thomas Carell,2016-01-01T00:00:00Z,male,$null$
Johann Gottlieb Fichte Prize,Peter Lichter,2014-01-01T00:00:00Z,male,$null$
Bourke Award,Ann E. McDermott,2014-01-01T00:00:00Z,female,award granted by the Royal Society of Chemistry
Potamkin Prize,Roger M. Nitsch,2004-01-01T00:00:00Z,male,award of the American Academy of Neurology
Pfizer Award in Enzyme Chemistry,Frederic M. Richards,1965-01-01T00:00:00Z,male,$null$
Pro meritis scientiae et litterarum,Hubert Markl,2002-01-01T00:00:00Z,male,$null$
Ramon Margalef Prize in Ecology,Daniel Pauly,2008-01-01T00:00:00Z,male,$null$
Howard Taylor Ricketts Award,Jeffrey I. Gordon,2014-01-01T00:00:00Z,male,$null$
Infosys Prize,K. VijayRaghavan,2009-01-01T00:00:00Z,male,A distinguished Award given to people in Science-Engineering by the Infosys Foundation .
Howard Taylor Ricketts Award,Robert Weinberg,1984-01-01T00:00:00Z,male,$null$
Rolex Awards for Enterprise,Claudia Feh,2004-01-01T00:00:00Z,female,scientific award
Research Council of Norway's Award for Excellence in Communication of Science,Dag Olav Hessen,1998-01-01T00:00:00Z,male,$null$
Gabbay Award,Stanley Fields,2003-01-01T00:00:00Z,male,$null$
Gabbay Award,Stephen Fodor,1998-01-01T00:00:00Z,male,$null$
Sewall Wright Award,Janis Antonovics,1999-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
Howard Taylor Ricketts Award,Susan Lindquist,2013-01-01T00:00:00Z,female,$null$
Rolex Awards for Enterprise,Romulus Whitaker,2008-01-01T00:00:00Z,male,scientific award
Margaret W. Rossiter History of Women in Science Prize,Marsha Richmond,2010-01-01T00:00:00Z,female,award from the History of Science Society
Gabbay Award,Mario Capecchi,2007-01-01T00:00:00Z,male,$null$
Howard Taylor Ricketts Award,Stanley Falkow,1995-01-01T00:00:00Z,male,$null$
Kempe Award for Distinguished Ecologists,Daniel Simberloff,2000-01-01T00:00:00Z,male,$null$
UCL Prize Lecture in Clinical Science,Françoise Barré-Sinoussi,2016-01-01T00:00:00Z,female,English science award
Sewall Wright Award,Russell Lande,1992-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
Kempe Award for Distinguished Ecologists,Ilkka Hanski,2011-01-01T00:00:00Z,male,$null$
W. Alden Spencer Award,Allison Jane Doupe,2012-01-01T00:00:00Z,female,$null$
Royal Society Wolfson Fellowship,Eleanor Jane Milner-Gulland,2008-01-01T00:00:00Z,female,Award and fellowship
Athalie Richardson Irvine Clarke Prize,Joan Rose,2001-01-01T00:00:00Z,female,$null$
Victoria Medal,Alexander Emanuel Agassiz,1909-01-01T00:00:00Z,male,award from the Royal Geographical Society
Ramon Margalef Prize in Ecology,Sallie W. Chisholm,2013-01-01T00:00:00Z,female,$null$
Ramon Margalef Prize in Ecology,Sandra Myrna Díaz,2017-01-01T00:00:00Z,female,$null$
Sewall Wright Award,Montgomery Slatkin,2000-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
Rolex Awards for Enterprise,Erika Cuéllar,2012-01-01T00:00:00Z,female,scientific award
Sewall Wright Award,Brian Charlesworth,2006-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
Gabbay Award,David Goeddel,1999-01-01T00:00:00Z,male,$null$
Sewall Wright Award,Richard Lewontin,1994-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
Biotechnology Heritage Award,Robert Fraley,2009-01-01T00:00:00Z,male,scientific award
Howard Taylor Ricketts Award,Peter K. Vogt,1991-01-01T00:00:00Z,male,$null$
Banting Medal,Dorothy Hodgkin,1972-01-01T00:00:00Z,female,award
W. Alden Spencer Award,Bert Sakmann,1983-01-01T00:00:00Z,male,$null$
Maxwell Finland Award,Diane E. Griffin,2016-01-01T00:00:00Z,female,American science award
Sewall Wright Award,Rudolf Raff,2004-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
"The EMET Prize for Art, Science and Culture",Ben-Zion Shilo,2013-01-01T00:00:00Z,male,$null$
"The EMET Prize for Art, Science and Culture",Varda Rotter,2003-01-01T00:00:00Z,female,$null$
Pfizer Award in Enzyme Chemistry,Van Rensselaer Potter,1947-01-01T00:00:00Z,male,$null$
Sewall Wright Award,Richard Lenski,2012-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
W. Alden Spencer Award,Robert Wurtz,1987-01-01T00:00:00Z,male,$null$
Howard Taylor Ricketts Award,Philippa Marrack,1999-01-01T00:00:00Z,female,$null$
Sewall Wright Award,Mary Jane West-Eberhard,2003-01-01T00:00:00Z,female,award given annually by the American Society of Naturalists
"The EMET Prize for Art, Science and Culture",Adi Kimchi,2012-01-01T00:00:00Z,female,$null$
"The EMET Prize for Art, Science and Culture",Adi Kimchi,2012-01-01T00:00:00Z,male,$null$
Rolex Awards for Enterprise,Verena Häussermann,2016-01-01T00:00:00Z,female,scientific award
Howard Taylor Ricketts Award,Piet Borst,1989-01-01T00:00:00Z,male,$null$
Robert Pfleger Research Award,Hanns Hatt,2010-01-01T00:00:00Z,male,medical research prize
Royal Society Wolfson Fellowship,Rebecca Kilner,2015-01-01T00:00:00Z,female,Award and fellowship
Sewall Wright Award,Jonathan Losos,2019-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
Maxwell Finland Award,Stanley Falkow,1999-01-01T00:00:00Z,male,American science award
Gouden KNCV-Medaille,Albert J.R. Heck,2001-01-01T00:00:00Z,male,$null$
W. Alden Spencer Award,John Heuser,1980-01-01T00:00:00Z,male,$null$
Union Medal of the British Ornithological Union,Chris Perrins,2016-01-01T00:00:00Z,male,medal awarded by the BOU for services to ornithology.
Fonseca Prize,David Attenborough,2010-01-01T00:00:00Z,male,$null$
Biotechnology Heritage Award,Herbert Boyer,2000-01-01T00:00:00Z,male,scientific award
Ho-Am Prize in Science,Hong Gil Nam,2014-01-01T00:00:00Z,male,$null$
Banting Medal,Bernardo Houssay,1963-01-01T00:00:00Z,male,award
Helen B. Warner Prize for Astronomy,Sara Seager,2007-01-01T00:00:00Z,female,award
Golden Brain Award,Robert Wurtz,1991-01-01T00:00:00Z,male,$null$
Infosys Prize,Gagandeep Kang,2016-01-01T00:00:00Z,female,A distinguished Award given to people in Science-Engineering by the Infosys Foundation .
W. Alden Spencer Award,John Sulston,1986-01-01T00:00:00Z,male,$null$
Infosys Prize,Satyajit Mayor,2012-01-01T00:00:00Z,male,A distinguished Award given to people in Science-Engineering by the Infosys Foundation .
Ramon Margalef Prize in Ecology,Juan Carlos Castilla Zenobi,2011-01-01T00:00:00Z,male,$null$
Potamkin Prize,Christine Van Broeckhoven,1993-01-01T00:00:00Z,female,award of the American Academy of Neurology
"The EMET Prize for Art, Science and Culture",Leo Sachs,2002-01-01T00:00:00Z,male,$null$
Sewall Wright Award,Douglas J. Futuyma,1997-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
Gabbay Award,Roger Brent,2003-01-01T00:00:00Z,male,$null$
Sewall Wright Award,Ruth Geyer Shaw,2017-01-01T00:00:00Z,female,award given annually by the American Society of Naturalists
Ramon Margalef Prize in Ecology,Simon A. Levin,2010-01-01T00:00:00Z,male,$null$
award for good science communication from the University of Oslo,Dag Olav Hessen,2008-01-01T00:00:00Z,male,$null$
City of Barcelona Award,Ricard Solé,2003-01-01T00:00:00Z,male,Culture award of the city of Barcelona
Pfizer Award in Enzyme Chemistry,Thomas A. Steitz,1980-01-01T00:00:00Z,male,$null$
Rolex Awards for Enterprise,José Márcio Ayres,2002-01-01T00:00:00Z,male,scientific award
Sewall Wright Award,John Maynard Smith,1995-01-01T00:00:00Z,male,award given annually by the American Society of Naturalists
W. Alden Spencer Award,H. Robert Horvitz,1986-01-01T00:00:00Z,male,$null$
Infosys Prize,Chetan Eknath Chitnis,2010-01-01T00:00:00Z,male,A distinguished Award given to people in Science-Engineering by the Infosys Foundation .
